Timestamp,Open,High,Low,Close,Volume
1748089800,108870,108940,108747,108825,2.77200996
1748091600,108824,108946,108637,108915,3.54996771
1748093400,108915,108928,108572,108623,4.05516412
1748095200,108634,108969,108624,108734,2.55365551
1748097000,108735,109052,108705,108989,4.73559874
1748098800,108991,109238,108903,109003,27.05176962
1748100600,109001,109086,108870,108964,3.39325219
1748102400,108972,108972,108742,108829,2.34719368
1748104200,108803,109144,108760,109023,2.62234687
1748106000,109048,109216,108932,108995,2.10306929
1748107800,108995,109109,108954,108954,3.15930837
1748109600,108948,109123,108948,109038,1.53482095
1748111400,109040,109048,108812,108855,1.76158187
1748113200,108855,108962,108834,108869,3.20071734
1748115000,108929,109049,108850,108999,15.32042705
1748116800,109005,109093,108915,109022,1.40946809
1748118600,109019,109164,108891,108904,1.61500103
1748120400,108893,108897,108626,108745,10.84490741
1748122200,108744,108899,108741,108852,4.06785423
1748124000,108848,108848,108429,108558,13.33468480
1748125800,108561,108635,108034,108132,21.39149348
1748127600,108088,108429,107729,108043,58.50947554
1748129400,108054,108199,107540,107799,16.73616323
1748131200,107798,108085,107797,108046,25.48755101
1748133000,108062,108143,107341,107459,35.96223631
1748134800,107486,107910,107275,107886,28.26052595
1748136600,107897,108039,107678,107694,6.93056445
1748138400,107694,107897,107535,107897,32.78136808
1748140200,107896,108026,107718,107962,10.59521716
1748142000,108026,108260,108026,108192,11.93443345
1748143800,108221,108286,108133,108134,2.06831956
1748145600,108129,108172,107995,108026,1.00629278
1748147400,108033,108299,108025,108286,1.51182918
1748149200,108265,108312,108117,108119,1.08707953
1748151000,108119,108165,107996,108138,2.09288663
1748152800,108138,108172,107924,108011,16.91238772
1748154600,108015,108034,107741,107909,9.87722480
1748156400,107946,107946,107522,107578,12.39966333
1748158200,107565,107740,107483,107710,6.42596509
1748160000,107708,107722,107394,107457,7.92749470
1748161800,107501,107577,107000,107137,26.73742226
1748163600,107136,107291,106934,107184,18.45306646
1748165400,107205,107234,106765,107136,61.59609529
1748167200,107136,107303,107105,107105,11.49017235
1748169000,107161,107380,106892,106982,24.66576140
1748170800,106981,107187,106892,107187,4.71731102
1748172600,107187,107301,107080,107298,19.55617715
1748174400,107286,107599,107221,107512,16.72958655
1748176200,107528,107617,107432,107564,3.96660347
1748178000,107538,107621,107346,107571,2.72438121
1748179800,107595,107754,107550,107564,15.38271876
1748181600,107564,107680,107475,107680,5.09276313
1748183400,107672,107672,107188,107393,23.28099125
1748185200,107410,107463,106762,106871,23.12711155
1748187000,106885,107264,106666,107000,43.82341759
1748188800,107000,107075,106689,106744,23.58679905
1748190600,106738,107277,106738,107223,28.73608637
1748192400,107227,107341,107162,107341,4.36975172
1748194200,107341,107406,107214,107399,5.60463591
1748196000,107406,107625,107329,107576,11.03973990
1748197800,107568,107568,107442,107459,2.39215512
1748199600,107449,107625,107449,107625,1.80535901
1748201400,107638,107987,107638,107748,19.34470940
1748203200,107759,107762,107496,107626,18.95467370
1748205000,107608,107748,107588,107701,3.19296063
1748206800,107700,107923,107481,107516,37.33030247
1748208600,107489,107690,107227,107510,27.50082814
1748210400,107510,108728,107416,108366,85.16104293
1748212200,108376,109282,108339,109221,69.77319720
1748214000,109219,109383,108650,108691,48.62686589
1748215800,108673,109124,108672,109068,6.95252650
1748217600,109114,109114,108759,108786,11.49878106
1748219400,108899,109651,108860,109637,3.44072316
1748221200,109596,109843,109304,109374,12.54389937
1748223000,109374,109865,109278,109605,75.91531160
1748224800,109586,109829,109521,109580,2.06224763
1748226600,109576,109578,109239,109437,3.23344817
1748228400,109438,109738,109326,109677,7.54332924
1748230200,109695,109800,109611,109678,5.35626503
1748232000,109678,109737,109557,109700,2.63826896
1748233800,109716,109790,109580,109588,2.73836071
1748235600,109589,109671,109414,109656,2.32346111
1748237400,109645,109730,109581,109713,2.49444769
1748239200,109684,109791,109565,109790,5.89333029
1748241000,109776,110001,109598,110000,26.88447326
1748242800,110000,110266,109806,109916,52.72585255
1748244600,109912,110147,109850,110146,6.71236929
1748246400,110147,110200,109845,109870,12.05008718
1748248200,109870,109944,109672,109721,21.00171726
1748250000,109739,110041,109659,109977,15.98363058
1748251800,109980,110019,109686,109770,14.56845307
1748253600,109804,109910,109714,109866,1.47977769
1748255400,109856,109895,109632,109696,4.07304240
1748257200,109707,109769,109632,109765,3.05068155
1748259000,109760,109876,109632,109805,3.72782167
1748260800,109881,109911,109730,109799,2.37693082
1748262600,109810,110107,109711,109890,27.09648834
1748264400,109895,110032,109706,109891,36.65871500
1748266200,109925,110019,109514,109642,31.55699528
1748268000,109640,109770,109558,109750,19.40244990
1748269800,109751,109787,109535,109691,2.45425861
1748271600,109732,109922,109576,109917,27.34003101
1748273400,109921,110425,109921,110096,45.57291492
1748275200,110080,110461,109160,109393,72.01619682
1748277000,109338,109672,109238,109397,20.60535997
1748278800,109416,109725,109279,109413,18.04941558
1748280600,109404,109480,108868,109196,22.49543506
1748282400,109214,109349,109052,109345,2.48967999
1748284200,109363,109499,109099,109136,3.39403187
1748286000,109138,109225,108969,109147,7.86348528
1748287800,109147,109198,108902,109175,1.53925037
1748289600,109160,109361,108991,109285,13.52195848
1748291400,109315,109606,109267,109606,29.39149353
1748293200,109619,109664,109186,109332,6.10753018
1748295000,109317,109532,109210,109381,3.98251350
1748296800,109382,109886,109350,109529,10.68016182
1748298600,109528,109612,109208,109229,1.81626925
1748300400,109202,109386,109121,109254,28.72681807
1748302200,109254,109496,109226,109468,1.65846035
1748304000,109474,109693,109342,109412,2.31467131
1748305800,109376,109419,109174,109182,2.77776051
1748307600,109174,109178,107562,108340,122.27940833
1748309400,108386,108658,108201,108426,20.25151000
1748311200,108399,108633,108279,108611,3.35306474
